wall,env_steps,update,mean_return,mean_percent,best_percent,pi_loss,v_loss,entropy,kl,clip_frac,steps_per_sec
965.1,51712,52,-0.609,0.0391,0.1079,-0.0036,0.0117,0.6272,0.00367,0.0146,46.0
985.4,52736,53,-0.604,0.0396,0.1079,-0.0052,0.0084,0.6176,0.00856,0.0771,50.8
1007.8,53760,54,-0.605,0.0395,0.1079,-0.0064,0.0142,0.6249,0.00517,0.0386,46.0
1028.2,54784,55,-0.6,0.04,0.1079,-0.0033,0.0079,0.625,-0.0007,0.0278,50.7
1048.6,55808,56,-0.597,0.0403,0.1079,-0.0055,0.0065,0.6175,0.00797,0.0364,50.6
1069.0,56832,57,-0.593,0.0407,0.1244,-0.0052,0.0071,0.6406,0.00307,0.1023,50.6
1089.4,57856,58,-0.593,0.0407,0.1244,-0.0038,0.0112,0.6343,0.0016,0.0066,50.6
1109.7,58880,59,-0.585,0.0415,0.1244,-0.0042,0.0088,0.5998,0.0033,0.0408,50.7
1130.1,59904,60,-0.582,0.0418,0.1244,-0.0128,0.0102,0.6297,0.02167,0.1365,50.7
1151.4,60928,61,-0.576,0.0424,0.1244,-0.0053,0.0049,0.6489,0.00376,0.012,48.4
1171.8,61952,62,-0.571,0.0429,0.1244,-0.0054,0.0097,0.6448,0.00504,0.0679,50.7
1194.2,62976,63,-0.571,0.0429,0.1244,-0.0037,0.0116,0.6461,0.00453,0.0613,45.9
1214.6,64000,64,-0.57,0.043,0.1244,-0.0048,0.0025,0.6306,0.0018,0.0366,50.7
1235.0,65024,65,-0.565,0.0435,0.1244,-0.0022,0.007,0.6438,0.00069,0.01,50.7
1257.4,66048,66,-0.564,0.0436,0.1244,-0.0034,0.0131,0.6249,0.00536,0.0479,46.0
1278.8,67072,67,-0.562,0.0438,0.1244,-0.0042,0.005,0.6232,0.00264,0.0261,48.2
1301.2,68096,68,-0.561,0.0439,0.1244,-0.0047,0.0091,0.629,0.00716,0.04,46.0
1321.6,69120,69,-0.556,0.0444,0.1244,-0.0049,0.0024,0.6101,0.00786,0.054,50.7
1344.0,70144,70,-0.554,0.0446,0.1244,-0.0035,0.0075,0.6085,0.00578,0.0356,46.0
1364.4,71168,71,-0.553,0.0447,0.1244,-0.0042,0.0065,0.6106,0.00695,0.0542,50.7
1385.6,72192,72,-0.55,0.045,0.1244,-0.0032,0.0015,0.6161,0.00185,0.0051,48.5
1406.0,73216,73,-0.543,0.0457,0.1244,-0.0049,0.0114,0.616,-0.00059,0.01,50.8
1425.3,74240,74,-0.538,0.0462,0.1244,-0.0089,0.0069,0.6295,0.00736,0.1331,53.5
1445.6,75264,75,-0.533,0.0467,0.1244,-0.0043,0.0095,0.6037,0.0006,0.041,50.7
1466.0,76288,76,-0.528,0.0472,0.1244,-0.0048,0.0093,0.648,0.00144,0.0154,50.7
1487.5,77312,77,-0.522,0.0478,0.1244,-0.0007,0.0034,0.6341,-5e-05,0.0002,48.1
1507.8,78336,78,-0.52,0.048,0.1244,-0.0032,0.0016,0.6197,0.00056,0.0037,50.7
1529.2,79360,79,-0.517,0.0483,0.1244,-0.0058,0.0014,0.5999,0.00282,0.0051,48.2
1549.6,80384,80,-0.514,0.0486,0.1244,-0.0067,0.0012,0.612,0.00391,0.062,50.7
1568.9,81408,81,-0.506,0.0494,0.1244,-0.0036,0.01,0.6214,0.00129,0.0081,53.5
1590.3,82432,82,-0.502,0.0498,0.1244,-0.0074,0.0071,0.6076,0.00204,0.0234,48.2
1611.7,83456,83,-0.499,0.0501,0.1244,-0.0049,0.0054,0.5977,0.00471,0.0312,48.2
1631.1,84480,84,-0.494,0.0506,0.1244,-0.0041,0.0076,0.5959,0.00131,0.0195,53.4
1651.4,85504,85,-0.488,0.0512,0.1244,-0.0124,0.0077,0.6118,0.01555,0.1394,50.7
1670.7,86528,86,-0.48,0.052,0.1244,-0.0076,0.0085,0.5917,0.00571,0.0479,53.5
1689.0,87552,87,-0.477,0.0523,0.1244,-0.0054,0.0068,0.5822,-0.00051,0.02,56.5
