wall,env_steps,episode,return,best_percent,steps,complete,dead
4558.2,239243,499,0.66,0.166,853,0,1
4575.9,240222,500,0.941,0.1941,979,0,1
4590.5,241035,501,0.581,0.1581,813,0,1
4608.2,242014,502,0.941,0.1941,979,0,1
4625.9,243012,503,0.941,0.1941,998,0,1
4643.6,243991,504,0.941,0.1941,979,0,1
4661.3,244990,505,0.943,0.1943,999,0,1
4675.8,245783,506,0.581,0.1581,793,0,1
4693.5,246781,507,0.941,0.1941,998,0,1
4711.3,247780,508,0.943,0.1943,999,0,1
4726.3,248598,509,0.63,0.163,818,0,1
4742.9,249533,510,0.818,0.1818,935,0,1
4753.8,250101,511,0.144,0.1144,568,0,1
4771.5,251099,512,0.941,0.1941,998,0,1
4786.5,251918,513,0.63,0.163,819,0,1
4798.0,252547,514,0.223,0.1223,629,0,1
4808.4,253105,515,0.085,0.1085,558,0,1
4824.3,253974,516,0.731,0.1731,869,0,1
4842.0,254972,517,0.941,0.1941,998,0,1
4855.2,255703,518,0.42,0.142,731,0,1
4865.5,256239,519,0.083,0.1083,536,0,1
4881.4,257127,520,0.728,0.1728,888,0,1
4898.1,258049,521,0.818,0.1818,922,0,1
4915.7,259047,522,0.941,0.1941,998,0,1
4931.6,259935,523,0.728,0.1728,888,0,1
4947.4,260803,524,0.728,0.1728,868,0,1
4965.1,261801,525,0.941,0.1941,998,0,1
4982.8,262776,526,0.941,0.1941,975,0,1
4996.0,263507,527,0.421,0.1421,731,0,1
5011.3,264340,528,0.66,0.166,833,0,1
5026.3,265178,529,0.63,0.163,838,0,1
5037.9,265812,530,0.233,0.1233,634,0,1
5049.6,266429,531,0.236,0.1236,617,0,1
5067.3,267429,532,0.945,0.1945,1000,0,1
5085.1,268411,533,0.947,0.1947,982,0,1
5101.7,269346,534,0.818,0.1818,935,0,1
5119.6,270337,535,0.947,0.1947,991,0,1
5136.0,271272,536,0.818,0.1818,935,0,1
5153.8,272273,537,0.947,0.1947,1001,0,1
5171.5,273253,538,0.945,0.1945,980,0,1
5189.2,274251,539,0.941,0.1941,998,0,1
5206.8,275229,540,0.941,0.1941,978,0,1
5223.5,276164,541,0.818,0.1818,935,0,1
5241.2,277142,542,0.941,0.1941,978,0,1
5258.8,278140,543,0.941,0.1941,998,0,1
5276.5,279119,544,0.941,0.1941,979,0,1
5294.2,280117,545,0.941,0.1941,998,0,1
5307.5,280829,546,0.42,0.142,712,0,1
5325.1,281827,547,0.941,0.1941,998,0,1
5336.7,282456,548,0.223,0.1223,629,0,1
5340.9,282625,549,-0.641,0.0359,169,0,1
5358.5,283623,550,0.941,0.1941,998,0,1
5368.8,284180,551,0.083,0.1083,557,0,1
5382.6,284922,552,0.482,0.1482,742,0,1
5394.2,285556,553,0.233,0.1233,634,0,1
5412.0,286557,554,0.947,0.1947,1001,0,1
